BUNGA DAN PARCEL
BUNGA HAND BOUQUET
BUNGA MEJA
BUNGA PAPAN CONGRATULATIONS
BUNGA PAPAN SELAMAT & BAHAGIA/HAPPY WEDDING
BUNGA PAPAN SELAMAT & SUKSES
BUNGA PAPAN TURUT BERDUKA CITA/BELA SUNGKAWA
BUNGA STANDING FLOWER
FLOWER BOX
HIAS MOBIL / RIAS MOBIL PENGANTIN
RANGKAIAN BUNGA ANGGREK
STANDING AKRILIK
BUNGA MEJA PLASTIK
